Symbol,Sector,January,December,November,October,September,August,July,June,May,April,March
GOOG,Communication Services,5.951010153878365,11.307893970288394,-0.2585781109271168,2.048742884250482,4.768117292579122,-6.53253200940683,-6.650947231482254,5.934539190353165,4.988696307460423,7.595757791976116,11.033886708199784
META,Communication Services,15.510193782801766,1.5918587065186836,3.133674665350683,-1.7047078695482751,11.930385883265458,1.242711584899001,0.9023107475015613,6.461749354141401,9.283351963032537,-11.318788002656992,-1.594915578081488
NFLX,Communication Services,9.522339989788078,-0.16916398263548418,18.26137071238358,6.325672468075812,3.2244696165534825,9.673869707359874,-7.000370782350767,5.4331084197934345,16.32122231822107,-10.043278709983538,0.2591969815034946
TMUS,Communication Services,7.31928188177762,-10.177728973482992,10.190911535358973,8.478366553232863,2.8140150947168467,8.456659619450315,3.440154764908734,2.6152252718798477,5.336848804436771,1.251956181533659,-0.05213764337852417
DIS,Communication Services,1.2717957936365327,-5.286456116455272,22.677666962560707,1.1995349820333872,5.874454514937899,-4.371087689262205,-5.333265802269045,-4.5907026191166524,-6.687108265319932,-8.957674781394964,9.042481758359827
VZ,Communication Services,-1.183948155533421,-8.942351339083062,5.558217537134661,-7.419319063990254,6.219813876781719,4.1339548577036185,-1.972101972101956,1.2171372930866602,4.622437285113963,-6.811439420908993,5.087916199027326
T,Communication Services,4.993429697766101,-0.4143947655397988,2.6875699888017657,1.3390830685429038,9.167492566897927,4.074265085095406,1.4652014652014713,5.755395683453233,7.081481481481483,-2.7097146151628646,2.481536189069413
CMCSA,Communication Services,-11.858548258441907,-12.83893395133256,-1.831418496189284,5.496219848793932,5.2412225309421645,-2.8585449638081024,5.760996496691318,-3.1540588087459227,4.3672131147540965,-10.620091431250735,-0.17552071144394044
CHTR,Communication Services,-1.1451643030590437,-11.944887269414709,8.703066978407367,11.451738990481159,-5.7171760965387755,-8.726965743757498,28.750721782548162,2.676687533785535,11.228131424803154,-10.254312520670522,-1.6418983700862948
AMZN,Consumer Discretionary,6.609383832673831,5.1299118073549295,5.980903433854838,7.269680836688927,4.5873374788015715,-5.238911506320978,-4.435741892549076,9.732052578361992,-1.2755102040816388,-0.30959752321981554,1.9128377045947442
TSLA,Consumer Discretionary,0.12737528919389873,8.444331684214973,41.60512554389047,-3.7776796174307306,22.267881463391735,-4.2042514902710595,8.194606697819319,15.930252243101418,-2.091217989447236,3.016591251885376,-12.841055660283754
HD,Consumer Discretionary,4.39283106368261,-8.80531800551429,8.70851801521483,-3.1583996457869494,10.978106573487654,0.55862854633049,7.125317963270636,2.7884411933621567,-0.499263135733413,-11.276851234156101,-2.001804369712732
MCD,Consumer Discretionary,-1.0951907585781544,-0.42325152746015254,-0.6409821610255667,-2.9251510312926934,6.226830803665107,6.7796926638908195,6.091280060219461,-2.4841600989027994,-5.153808101720358,-2.832372000284854,-3.504432075860643
BKNG,Consumer Discretionary,-5.575556980867198,-4.934764622474637,10.751414031052919,13.076255344285451,8.312320622539742,4.19190803762936,-6.1282867583370075,4.273745721148169,10.026426806792468,-5.083311403205034,3.4031863517360943
LOW,Consumer Discretionary,3.4911660777385083,-9.210068012245873,3.4123869646817946,-2.79369759513498,10.146957333658104,0.9156271123947466,12.745958429561213,-0.7836487786994087,-4.060322275715015,-9.498040307980027,3.6435994721214033
TJX,Consumer Discretionary,2.2276208515193807,-3.848285691662036,11.909614532565351,-3.6046809601093353,-0.5352591333899828,3.4952736865245186,2.8069065268486617,5.785598163909354,11.612765503255412,-6.660024906600251,1.4452473596442539
NKE,Consumer Discretionary,1.0472251867662707,-4.515635946754968,1.2249371413835195,-12.431547451024661,7.986343961470478,10.42073375967685,-2.4814547364274753,-19.36798644929072,3.7167169914905354,-2.2643129259000907,-9.419198055893071
SBUX,Consumer Discretionary,16.41628565207925,-9.724337870374915,3.5832442612103588,0.7951980299610008,4.062783620735686,22.42483660130719,-1.3666838576585898,-4.104846686449052,7.653400771995209,-18.047450231797114,-2.2706678748467666
CMG,Consumer Discretionary,-4.938680808750421,-1.1629811629811528,6.238580005220558,0.0,4.949319696831341,1.6334106728538331,-13.453815261044177,0.1528436972085896,-1.2079790193117779,8.548999309868885,7.562401410411051
WMT,Consumer Staples,9.073230358928761,-2.954815054459162,12.591063623118007,1.7104044458166163,4.822006472491902,11.391492429704407,2.4599246509566255,3.0762202086347528,11.145903859173991,-1.7870501205219897,2.3392310309629125
COST,Consumer Staples,8.406902636438867,-6.244990649211871,11.120245721006189,-0.6269041148738068,-0.7108857907336934,8.548769750036683,-3.750654731427698,4.474941434711244,12.592679769330342,-0.5856847900894694,-2.475367143662584
PG,Consumer Staples,0.04789415391984465,-6.897608828939301,8.598408038497633,-4.582996419082825,0.2112574157140678,5.811923936675145,-0.5299869026225242,-0.08217176943211352,0.5816089139218912,1.3401166397816084,1.7229409908488598
KO,Consumer Staples,1.8842096787180962,-2.7486296006264612,-2.1305947271612733,-9.269174605382089,-1.1275352354760995,7.7726733847065885,6.008954520461847,1.3291945240369323,1.5436838276893323,1.5345478417856477,2.0346646571213203
PEP,Consumer Staples,-1.0096011085816288,-7.133008548579824,-1.6009406657018819,-3.207167245454797,-2.0719021490626433,0.699300699300685,5.964687585765273,-4.657653728739654,-1.8995465046633082,0.5910199397504116,5.797541356806771
PM,Consumer Staples,6.954297970631891,-7.995901483814653,0.07595609737571252,8.765335205915155,-2.8843068035943396,6.877036528897257,14.766520690842883,-0.4750244857982226,7.084797315013892,4.2933712535550175,1.7700100189246393
